中国人寿保险股份有限公司 ZGRS 201510140910 03
中国平安人寿保险股份有限公司 PARS 201510131865 03
中国太平洋人寿保险股份有限公司 TBSX 2015102015283329 03
新华人寿保险股份有限公司 XHBX 2015102911583811 03
太平人寿保险有限公司 TPRS 2015112309340024 03
富德生命人寿保险股份有限公司 FDSMRS 2015111009396019 03
中国人民健康保险股份有限公司 RBJK 2015110314024584 03
民生人寿保险股份有限公司 MSBX 2015122515260186 03
阳光人寿保险股份有限公司 YGRS 201510141507 03
合众人寿保险股份有限公司 HZRS 201510152379 03
百年人寿保险股份有限公司 BNRS 201510081767 03
光大永明人寿保险有限公司 GDYMRS 201510131523 03
中意人寿保险有限公司 ZYRSBX 2015111616271544 03
中美联泰大都会人寿保险有限公司 ZMLTDDHRS 2015101914201034 03
友邦保险有限公司上海分公司 YBSH 2015111714290626 03
太平养老保险股份有限公司 TPYL 2015101916344955 03
平安养老保险股份有限公司 PAYLX 2015110614125431 03
平安健康保险股份有限公司 PAJKX 201510151796 03
英大泰和人寿保险股份有限公司 YDRS 2015110316415852 03
长城人寿保险股份有限公司 CCRS 2015112610064651 03
农银人寿保险股份有限公司 MYRS 2015102009460889 03
君康人寿保险股份有限公司 JKRS 2015101915482984 03
信泰人寿保险股份有限公司 XTRS 2015102113381780 03
国华人寿保险股份有限公司 GHRS 201510091515 03
幸福人寿保险股份有限公司 XFRS 2015122911090559 03
利安人寿保险股份有限公司 LABX 2015111017436160 03
中宏人寿保险有限公司 ZHBX 2015110415478297 03
中德安联人寿保险有限公司 ZDAL 2015102616022491 03
工银安盛人寿保险有限公司 GYASRS 201510131017 03
信诚人寿保险有限公司 XCRS 201510131792 03
交银康联人寿保险有限公司 JYKL 201510080901 03
中荷人寿保险有限公司 ZHRSBX 2015102016223831 03
同方全球人寿保险有限公司 TFQQRS 201510131545 03
中英人寿保险有限公司 ZYRS 201510161035 03
恒安标准人寿保险有限公司 HABZRS 2015112315283028 03
招商信诺人寿保险有限公司 ZSXN 201510091244 03
陆家嘴国泰人寿保险有限责任公司 LJZGTRS 2016061214155410 03
中银三星人寿保险有限公司 ZHSXRS 2015120111060056 03
泰康养老保险股份有限公司 TKYL 2015102108570001 03
长江养老保险股份有限公司 CJYL 2015122114410101 03
昆仑健康保险股份有限公司 KLJKBX 2015102613381225 03
瑞泰人寿保险有限公司 RTRS 2015112014398127 03
北大方正人寿保险有限公司 BDFZRS 201510161305 03
君龙人寿保险有限公司 JLRS 201510131133 03
华汇人寿保险股份有限公司 HHRS 2015102114211873 03
前海人寿保险股份有限公司 QHRS 2015112010148106 03
东吴人寿保险股份有限公司 DWRS 201510101362 03
弘康人寿保险股份有限公司 HKRS 201510091351 03
吉祥人寿保险股份有限公司 JXRSBX 2015120709140572 03
复星保德信人寿保险有限公司 FXBDXRS 2015101914201032 03
中韩人寿保险有限公司 ZHRS 2015102614191921 03
珠江人寿保险股份有限公司 ZJRS 201510121736 03
德华安顾人寿保险有限公司 DHAGRS 201510130991 03
长生人寿保险有限公司 CSRS 201510101663 03
中法人寿保险有限责任公司 ZFRS 2015111710520178 03
上海人寿保险股份有限公司 SHRS 2015102010281361 03
国联人寿保险股份有限公司 GLRS 201510150901 03
渤海人寿保险股份有限公司 BHRSBX 2015102114421930 03
中华联合人寿保险股份有限公司 ZHLHRS 2016061709313944 03
太保安联健康保险股份有限公司 TBALJKX 2015102009110774 03
恒大人寿保险有限公司 ZXDDF 201510141045 03
