saleName="乐游旅游一日游保险"	,	regName="1、国寿个人旅游意外伤害保险（2013版） 2、国寿通泰交通意外伤害保险（A款）（2013版）"
saleName="乐游旅游境内保险"	,	regName="1、国寿旅行综合意外伤害保险（2013版） 2、国寿通泰交通意外伤害保险（A款）（2013版）"
saleName="乐游旅游境外保险"	,	regName="1、国寿旅行综合意外伤害保险（2013版） 2、国寿通泰交通意外伤害保险（A款）（2013版）"
saleName="交通工具意外保险"	,	regName="1、国寿通泰交通意外伤害保险（A款）（2013版） 2、国寿附加通泰交通意外费用补偿医疗保险"
saleName="国寿新交通意外伤害保险A卡"	,	regName="1、国寿通泰交通意外伤害保险（A款）（2013版） 2、国寿附加通泰交通意外费用补偿医疗保险"
saleName="安心综合意外保险(A款)"	,	regName="1、国寿绿舟意外伤害保险（2013版） 2、国寿附加绿舟意外费用补偿医疗保险 3、国寿附加绿舟意外住院定额给付医疗保险"
saleName="安心综合意外保险(B款)"	,	regName="1、国寿绿舟意外伤害保险（2013版） 2、国寿附加绿舟意外费用补偿医疗保险 3、国寿附加绿舟意外住院定额给付医疗保险"
saleName="安心综合意外保险(B款)"	,	regName="4、国寿通泰交通意外伤害保险（A款）（2013版）"
saleName="安心综合意外保险(C款)"	,	regName="1、国寿绿舟意外伤害保险（2013版） 2、国寿附加绿舟意外费用补偿医疗保险"
saleName="安心综合意外保险(D款)"	,	regName="1、国寿绿舟意外伤害保险（2013版） 2、国寿附加绿舟意外费用补偿医疗保险（ 3、国寿附加绿舟意外住院定额给付医疗保险"
saleName="安心综合意外保险(E款)"	,	regName="1、国寿绿舟意外伤害保险（2013版） 2、国寿附加绿舟意外费用补偿医疗保险 3、国寿附加绿舟意外住院定额给付医疗保险"
saleName="平安住宿无忧卡"	,	regName="国寿住宿旅客意外伤害保险（2013版）"
saleName="旅游无忧保险"	,	regName="国寿观光景点、娱乐场所人身意外伤害保险（2013版）"
saleName="畅行私家车意外保险"	,	regName="国寿通泰交通意外伤害保险（A款）（2013版）"
saleName="畅行航空意外保险"	,	regName="国寿航空旅客意外伤害保险（B款）（2013版）"
saleName="阳光宝贝保障计划"	,	regName="1、国寿附加学生儿童重大疾病保险（A型） 2、国寿附加学生儿童住院定额给付医疗保险 3、国寿学生儿童意外伤害保险（2013版）"
saleName="阳光宝贝保障计划"	,	regName="4、国寿附加学生儿童意外伤害费用补偿医疗保险（A款）"
saleName="阳光宝贝保障计划"	,	regName="1、国寿附加学生儿童重大疾病保险（A型） 2、国寿学生儿童意外伤害保险（2013版） 3、国寿附加学生儿童意外伤害费用补偿医疗保险（A款）"
saleName="阳光宝贝保障计划"	,	regName="4、国寿附加学生儿童疾病住院费用补偿医疗保险"
