saleName="新华出行关爱去哪儿网A款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网A款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网B款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网B款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网C款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网C款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网D款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网D款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网E款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱去哪儿网E款"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱火车意外伤害保险"	,	regName="出行关爱交通工具意外伤害保险"
saleName="新华出行关爱火车意外伤害保险"	,	regName="出行关爱交通工具意外伤害保险"
